department,year,base,unit,count
総合システム工学科,1962,国立,学級,0
総合システム工学科,1962,公立,学科,0
総合システム工学科,1962,公立,学級,0
総合システム工学科,1962,私立,学科,0
総合システム工学科,1962,私立,学級,0
総合システム工学科,1962,計,学科,0
総合システム工学科,1962,計,学級,0
ものづくり工学科,1962,国立,学科,0
ものづくり工学科,1962,国立,学級,0
ものづくり工学科,1962,公立,学科,0
ものづくり工学科,1962,公立,学級,0
ものづくり工学科,1962,私立,学科,0
ものづくり工学科,1962,私立,学級,0
ものづくり工学科,1962,計,学科,0
ものづくり工学科,1962,計,学級,0
生産システム工学科,1962,国立,学科,0
生産システム工学科,1962,国立,学級,0
生産システム工学科,1962,公立,学科,0
生産システム工学科,1962,公立,学級,0
生産システム工学科,1962,私立,学科,0
生産システム工学科,1962,私立,学級,0
生産システム工学科,1962,計,学科,0
生産システム工学科,1962,計,学級,0
創造技術工学科,1962,国立,学科,0
創造技術工学科,1962,国立,学級,0
創造技術工学科,1962,公立,学科,0
創造技術工学科,1962,公立,学級,0
創造技術工学科,1962,私立,学科,0
創造技術工学科,1962,私立,学級,0
